Car Model,Year Of Registration,Car Specifications,Location,Condition Rating,Condition Status,Asking Price,Monthly EMI,Car Image
Honda City,2019,"29,960 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",8.0,good,Rs. 8.75 Lakh,"₹ 19,597",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F611265%2Fcover_image-20240610183105.jpeg&w=3840&q=75
Honda Jazz,2018,"22,833 km | Petrol | Automatic","Mahindra First Choice, Kharghar ",7.9,good,Rs. 6.75 Lakh,"₹ 15,118",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F4464%2F612396%2Fcover_image-20240628162547.jpeg&w=3840&q=75
Maruti Suzuki Baleno,2018,"27,021 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",8.1,good,Rs. 6.75 Lakh,"₹ 15,118",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F611322%2Fcover_image-20240608140526.jpeg&w=3840&q=75
Maruti Suzuki S-Cross,2021,"22,485 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",8.6,good,Rs. 9.95 Lakh,"₹ 22,285",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F611622%2Fcover_image-20240616184222.jpeg&w=3840&q=75
Maruti Suzuki XL6,2021,"22,319 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",8.5,good,Rs. 11.85 Lakh,"₹ 25,059",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F611258%2Fcover_image-20240606181958.jpeg&w=3840&q=75
MG Hector,2021,"24,541 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",8.5,good,Rs. 16.75 Lakh,"₹ 35,424",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F609569%2Fcover_image-20240505140758.jpeg&w=3840&q=75
Jeep Compass,2017,"30,033 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",7.6,good,Rs. 11.45 Lakh,"₹ 25,644",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F611273%2Fcover_image-20240606174943.jpeg&w=3840&q=75
Maruti Suzuki XL6,2021,"32,235 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",8.5,good,Rs. 11.55 Lakh,"₹ 24,425",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F611282%2Fcover_image-20240606184431.jpeg&w=3840&q=75
Hyundai Xcent,2014,"28,971 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",7.2,good,Rs. 4.25 Lakh,"₹ 9,519",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F611552%2Fcover_image-20240614154709.jpeg&w=3840&q=75
Honda Jazz,2018,"28,299 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",7.8,good,Rs. 6.55 Lakh,"₹ 14,670",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F609837%2Fcover_image-20240512151742.jpeg&w=3840&q=75
Honda Jazz,2018,"24,772 km | Petrol | Automatic","Mahindra First Choice, Thane, Mumbai ",8.0,good,Rs. 6.75 Lakh,"₹ 15,118",https://www.carandbike.com/_next/image?url=https%3A%2F%2Fmedia.mahindrafirstchoice.com%2Flive_web_images%2Fusedcarsimg%2Fmfc%2F79%2F583097%2Fcover_image-20230825131051.jpg&w=3840&q=75
